MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N2,738REC27TF,TAXFREE SEC NCD TR1 S2,      1100.00,      1096.75,      1097.33,      1096.75,      1097.33,                     4388.16,4, ,2,      1155.00,      1041.47
N,N2,79NHIT40,SEC RE NCD 7.90% STRPP B,       304.90,       302.30,       303.95,       298.45,       303.49,                   637363.50,2115, ,16,       320.00,       298.45
N,N2,810IRFC27,BOND 8.10% PA TAX FREE S2,      1119.51,      1116.00,      1119.00,      1116.00,      1117.02,                  1007387.46,902, ,13,      1180.00,      1065.00
N,N2,82HUDCO27,8.20 NCD05MAR27 FV 1000,      1092.80,      1093.50,      1093.50,      1087.30,      1093.00,                     3273.80,3, ,3,      1209.99,      1060.00
N,N2,830NHAI27,BOND 8.30% PA TAX FREE S2,      1121.00,      1122.80,      1122.80,      1122.70,      1122.70,                     2245.50,2, ,2,      1177.00,      1062.20
N,N2,957ISFL26,SEC RE NCD 9.57% SR 3,       995.00,       995.00,       995.00,       992.00,       992.47,                   149010.00,150, ,9,      1009.00,       927.00
N,N2,IMC1,SEC RE NCGB 8.25% STRPP C,       255.00,       255.00,       255.00,       255.00,       255.00,                    12750.00,50, ,1,       262.98,       241.80
N,N2,M&MFIN,9.00% UNSECURED NCD,      1084.10,      1089.00,      1089.00,      1089.00,      1089.00,                     9801.00,9, ,1,      1131.00,      1011.00
N,N2,NABARD,7.64% TAX FREE TRI SRIIB,      1131.00,      1126.21,      1139.00,      1126.00,      1126.24,                   799591.45,710, ,29,      1215.90,      1062.30
N,N3,79NHIT47,SEC RE NCD 7.90% STRPP C,       408.52,       407.75,       407.94,       406.00,       407.94,                   396950.04,974, ,11,       428.46,       392.00
N,N3,863NHB34,BOND 8.76%PA TF TR-I S 3A,      5271.10,      6325.00,      6325.00,      6325.00,      6325.00,                    18975.00,3, ,1,      6822.00,      5271.10
N,N3,BILNCD2021,UNSEC RED NCD 5.50%,        30.30,        30.20,        30.49,        30.20,        30.26,                    99979.20,3300, ,90,        30.69,        25.00
N,N4,1003ISFL28,SEC RE NCD 10.03% SR 5,       999.95,       990.00,       991.00,       990.00,       991.00,                   449889.00,454, ,10,      1018.99,       960.00
N,N4,1040UCL25,SEC RED NCD 10.40% SR.III,       994.00,       987.27,       993.49,       987.27,       993.49,                   261024.80,264, ,10,      1014.80,       951.00
N,N4,10IIFL28,UNSEC RE NCD 10% SR.I,       990.00,       990.00,       990.00,       971.00,       971.00,                    50471.00,51, ,2,      1089.99,       937.00
N,N4,734IRFC28,7.34 NCD 19FEB28 TR1 SR2,      1098.10,      1098.93,      1109.90,      1098.92,      1109.90,                   429457.80,390, ,6,      1169.90,      1050.50
